name,value
ambienti-civili,Ambienti Civili
ambienti-domestici,Ambienti domestici
aree-verdi,Aree Verdi
ho-re-ca,Ho.re.ca.
industria,Industria
industria-alimentare,Industria Alimentare
mezzi-di-trasporto,Mezzi di trasporto
ospedali,Ospedali
stoccaggio-cereali,Stoccaggio Cereali
zootecnia,Zootecnia
